Sample,X,Y,Z,Label
638,-0.24,0.07,1.3,V
639,-0.09,0.13,0.81,V
640,-0.02,0.13,0.68,V
641,-0.18,0.12,0.97,V
642,-0.23,0.14,1.18,V
643,-0.05,-0.04,0.84,V
644,-0.02,-0.08,0.65,V
645,-0.2,0.19,1.19,V
646,-0.23,0.03,1.13,V
647,-0.18,0.18,0.99,V
648,-0.05,0.11,0.62,V
649,-0.16,0.05,1.05,V
650,-0.24,-0.11,1.18,V
651,-0.09,-0.07,0.79,V
652,-0.04,-0.24,0.62,V
653,-0.16,0.22,1.15,V
654,-0.22,-0.02,1.04,V
655,-0.12,0.04,0.77,V
656,-0.12,0.09,0.71,V
657,-0.2,0.01,1.26,V
658,-0.12,-0.15,0.99,V
659,-0.03,-0.2,0.62,V
660,-0.21,-0.05,1.1,V
661,-0.3,0.02,1.39,V
662,-0.13,0.13,0.74,V
663,-0.12,0.05,0.47,V
664,-0.27,0.13,1.45,V
665,-0.03,-0.31,0.35,V
666,-0.23,0.27,1.54,V
667,-0.53,-0.48,1.66,V
668,-0.07,0.21,0.64,V
669,-0.33,0.21,1.29,V
670,-0.16,-0.06,0.99,V
671,-0.05,-0.11,0.5,V
672,-0.17,0.28,1.23,V
673,-0.02,0.08,0.21,V
674,-0.25,0.26,1.8,V
675,0.01,-0.4,0.23,V
676,-0.22,0.35,1.88,V
677,-0.06,0.13,0.49,V
678,-0.14,0.22,1.05,V
679,-0.09,-0.21,0.91,V
680,-0.23,-0.06,0.75,V
681,-0.15,0.02,1.05,V
682,-0.17,-0.09,0.3,V
683,-0.15,0.14,1.61,V
684,-0.06,-0.26,0.29,V
685,-0.1,0.15,1.44,V
686,-0.08,0.08,0.71,V
687,-0.09,-0.05,0.55,V
688,-0.17,0.07,0.88,V
689,-0.07,-0.1,0.94,V
690,-0.03,-0.26,0.59,V
691,-0.13,0.2,1.19,V
692,-0.1,-0.01,0.9,V
693,-0.07,0.01,0.49,V
694,-0.19,0.17,1.33,V
695,-0.1,-0.11,0.91,V
696,0.01,-0.36,0.51,V
697,-0.18,0.08,1.14,V
698,-0.18,0.08,1.19,V
699,-0.09,-0.01,0.68,V
700,-0.26,-0.05,1.1,V
701,-0.16,-0.16,1.22,V
702,-0.05,-0.32,0.61,V
703,-0.08,0.09,0.96,V
704,-0.16,-0.07,1.03,V
705,-0.19,-0.1,1.17,V
706,-0.07,0.18,0.66,V
707,-0.23,-0.02,0.98,V
708,-0.16,-0.04,1.22,V
709,-0.08,-0.24,0.64,V
710,-0.05,-0.33,0.66,V
711,-0.15,-0.04,1.13,V
712,-0.12,-0.08,0.91,V
713,-0.14,-0.02,0.56,V
714,-0.18,-0.03,1.16,V
715,-0.04,-0.13,0.9,V
716,-0.12,-0.19,0.64,V
717,-0.17,0.03,1.23,V
718,-0.11,-0.07,0.97,V
719,-0.13,0.03,0.7,V
720,-0.21,0.06,1.06,V
721,-0.07,-0.12,0.96,V
722,-0.08,-0.22,0.85,V
723,-0.08,-0.19,0.77,V
724,-0.16,-0.19,1.1,V
725,-0.18,0.15,1.1,V
726,-0.08,0.07,0.68,V
727,-0.18,0.12,0.97,V
728,-0.11,-0.1,1.09,V
729,-0.05,-0.2,0.66,V
730,-0.1,-0.14,0.67,V
731,-0.28,-0.28,1.01,V
732,-0.35,-0.18,1.15,V
733,-0.15,-0.07,0.83,V
734,-0.18,0.08,0.69,V
