X,Y,Z,Label
472,-159,1219,Z
471,-167,1203,Z
450,-173,1161,Z
441,-170,1114,Z
432,-176,1094,Z
449,-203,1079,Z
430,-189,1055,Z
433,-197,1073,Z
430,-243,1120,Z
438,-261,1111,Z
415,-253,1085,Z
422,-262,1051,Z
417,-240,1039,Z
422,-217,1016,Z
420,-211,1042,Z
429,-191,1065,Z
440,-177,1061,Z
472,-167,1037,Z
478,-174,1022,Z
482,-168,1021,Z
502,-139,1000,Z
497,-121,1011,Z
473,-130,1011,Z
474,-91,1011,Z
474,-107,1027,Z
481,-117,1039,Z
475,-125,1014,Z
465,-95,996,Z
484,-82,1013,Z
509,-40,1018,Z
520,15,977,Z
519,57,953,Z
541,94,954,Z
515,109,1013,Z
476,128,1043,Z
482,104,1087,Z
505,116,1065,Z
499,154,993,Z
469,169,978,Z
473,215,966,Z
439,249,962,Z
405,290,944,Z
404,263,953,Z
502,210,971,Z
509,227,947,Z
470,270,946,Z
474,304,991,Z
497,363,966,Z
460,436,903,Z
426,505,885,Z
427,539,854,Z
454,587,796,Z
423,639,739,Z
384,669,725,Z
407,693,736,Z
463,711,737,Z
433,737,755,Z
411,728,789,Z
410,723,839,Z
398,699,846,Z
378,671,840,Z
348,662,835,Z
363,651,814,Z
347,634,825,Z
349,620,831,Z
339,614,831,Z
336,594,864,Z
306,556,885,Z
273,518,897,Z
257,479,901,Z
249,453,921,Z
247,388,925,Z
232,364,910,Z
252,320,909,Z
242,286,893,Z
220,270,914,Z
205,274,920,Z
210,295,902,Z
228,305,908,Z
233,275,914,Z
244,255,946,Z
258,226,984,Z
274,186,997,Z
271,154,1023,Z
270,145,1058,Z
274,143,1047,Z
272,128,1058,Z
258,159,1031,Z
273,193,1003,Z
269,209,961,Z
272,208,934,Z
260,213,930,Z
255,202,944,Z
268,197,935,Z
266,208,944,Z
268,215,939,Z
262,214,934,Z
278,218,962,Z
283,228,956,Z
277,223,930,Z
275,218,925,Z
289,223,908,Z
290,220,906,Z
290,222,914,Z
298,230,916,Z
300,241,920,Z
299,242,952,Z
298,237,989,Z
312,223,992,Z
310,223,987,Z
302,226,965,Z
315,227,951,Z
315,235,943,Z
311,249,950,Z
313,255,987,Z
323,265,984,Z
322,263,981,Z
330,273,982,Z
316,285,992,Z
311,298,997,Z
312,317,1015,Z
320,323,1004,Z
320,321,1000,Z
319,313,983,Z
341,299,990,Z
330,291,967,Z
317,294,978,Z
312,297,967,Z
309,298,955,Z
303,309,959,Z
309,286,972,Z
305,278,965,Z
294,267,969,Z
301,254,974,Z
302,252,967,Z
307,247,984,Z
280,241,982,Z
285,257,985,Z
279,262,957,Z
276,281,964,Z
266,288,974,Z
262,289,951,Z
272,279,949,Z
278,266,939,Z
265,278,921,Z
223,-475,1129,Z
208,-531,1170,Z
186,-589,1230,Z
161,-597,1231,Z
132,-606,1206,Z
124,-599,1139,Z
103,-549,1058,Z
105,-465,1002,Z
113,-355,956,Z
124,-259,955,Z
134,-184,941,Z
149,-75,928,Z
145,7,960,Z
177,93,972,Z
205,236,926,Z
233,331,868,Z
289,429,819,Z
319,523,741,Z
351,606,681,Z
353,655,638,Z
385,731,613,Z
404,795,608,Z
410,836,621,Z
385,919,608,Z
369,990,626,Z
374,1057,645,Z
430,1121,650,Z
407,1154,638,Z
414,1154,678,Z
411,1116,718,Z
378,1091,740,Z
327,1021,811,Z
290,964,847,Z
272,911,875,Z
249,865,898,Z
241,817,904,Z
247,763,924,Z
240,713,928,Z
251,661,895,Z
247,637,913,Z
237,594,923,Z
215,575,918,Z
185,573,860,Z
153,556,845,Z
151,553,786,Z
159,561,717,Z
187,564,666,Z
203,565,638,Z
216,533,647,Z
227,503,680,Z
218,454,736,Z
202,427,767,Z
225,408,758,Z
227,397,750,Z
252,432,725,Z
316,438,729,Z
331,430,766,Z
347,411,822,Z
363,378,836,Z
308,350,846,Z
310,359,843,Z
358,383,830,Z
411,321,881,Z
441,252,927,Z
426,208,972,Z
375,162,973,Z
308,136,990,Z
283,118,965,Z
270,120,920,Z
307,143,891,Z
396,120,894,Z
440,62,943,Z
420,13,996,Z
385,-36,1036,Z
347,-45,1070,Z
344,-15,1070,Z
418,-39,1077,Z
471,-91,1174,Z
486,-137,1221,Z
481,-151,1226,Z
447,-166,1245,Z
409,-166,1251,Z
381,-144,1199,Z
412,-76,1146,Z
473,-70,1109,Z
531,-103,1126,Z
515,-137,1169,Z
486,-166,1201,Z
458,-207,1227,Z
422,-215,1235,Z
432,-213,1214,Z
472,-223,1180,Z
480,-223,1182,Z
484,-241,1215,Z
469,-258,1255,Z
468,-267,1233,Z
466,-270,1197,Z
449,-263,1187,Z
443,-239,1152,Z
447,-225,1150,Z
452,-196,1109,Z
452,-183,1088,Z
469,-158,1075,Z
477,-137,1036,Z
471,-123,1015,Z
452,-87,965,Z
454,-87,950,Z
480,-85,898,Z
467,-72,894,Z
435,-64,895,Z
427,-65,905,Z
438,-62,925,Z
476,-91,927,Z
513,-67,904,Z
511,-32,922,Z
495,-5,968,Z
496,15,978,Z
505,25,1003,Z
553,51,954,Z
540,112,891,Z
592,154,908,Z
599,223,934,Z
606,262,998,Z
646,311,1012,Z
613,414,962,Z
554,478,968,Z
511,499,954,Z
469,544,914,Z
486,537,870,Z
512,492,831,Z
671,449,810,Z
686,535,736,Z
631,660,729,Z
566,760,778,Z
505,841,826,Z
487,897,854,Z
461,926,862,Z
455,912,837,Z
495,859,811,Z
530,814,770,Z
512,796,724,Z
492,794,701,Z
463,793,708,Z
419,797,717,Z
362,779,771,Z
340,748,835,Z
337,669,887,Z
321,583,902,Z
327,526,892,Z
298,483,883,Z
287,446,855,Z
268,434,824,Z
262,419,785,Z
265,415,774,Z
270,400,822,Z
257,380,884,Z
268,342,956,Z
263,303,981,Z
264,275,993,Z
277,256,981,Z
292,252,949,Z
292,268,908,Z
298,277,899,Z
303,280,891,Z
299,286,900,Z
294,280,943,Z
300,258,975,Z
296,243,996,Z
288,235,1004,Z
286,242,1006,Z
302,259,968,Z
314,308,913,Z
326,331,887,Z
315,326,881,Z
321,329,892,Z
318,315,910,Z
334,301,894,Z
346,305,907,Z
350,309,924,Z
335,346,934,Z
357,360,941,Z
335,401,924,Z
363,406,910,Z
397,405,919,Z
412,404,908,Z
423,420,941,Z
414,449,930,Z
401,479,945,Z
381,508,973,Z
376,506,952,Z
366,502,968,Z
365,486,981,Z
