X,Y,Z,Label
277,239,767,V
315,252,773,V
356,243,784,V
360,194,821,V
366,146,872,V
358,101,906,V
361,69,921,V
355,77,908,V
363,100,875,V
403,149,859,V
468,163,836,V
484,198,826,V
526,201,864,V
524,178,902,V
537,164,985,V
551,162,1040,V
547,153,1050,V
558,168,1031,V
566,200,948,V
566,241,873,V
617,263,846,V
666,269,860,V
677,261,895,V
721,267,992,V
720,242,1037,V
718,235,1084,V
733,226,1125,V
746,246,1146,V
770,276,1128,V
796,305,1121,V
813,325,1146,V
839,331,1154,V
843,290,1157,V
814,259,1177,V
762,206,1204,V
761,207,1227,V
755,209,1197,V
753,245,1170,V
755,272,1091,V
754,289,1049,V
731,310,1000,V
694,301,948,V
669,275,931,V
652,250,918,V
624,240,900,V
610,219,925,V
609,241,864,V
612,256,824,V
628,263,791,V
591,270,751,V
601,272,726,V
578,263,716,V
569,247,755,V
560,223,768,V
537,213,739,V
543,204,735,V
532,220,736,V
546,228,760,V
559,217,736,V
564,220,733,V
558,232,730,V
567,235,764,V
579,240,791,V
603,263,799,V
611,281,846,V
613,279,829,V
595,283,796,V
601,303,787,V
602,302,791,V
593,324,800,V
587,333,789,V
584,348,823,V
584,353,854,V
612,371,887,V
607,385,878,V
613,403,916,V
622,396,927,V
618,372,964,V
622,347,989,V
625,357,1024,V
646,367,1032,V
651,389,1047,V
662,409,1037,V
663,432,1051,V
651,428,1032,V
649,416,998,V
638,402,969,V
631,429,964,V
623,430,977,V
635,414,975,V
615,393,979,V
605,340,1000,V
590,290,1020,V
592,279,1007,V
584,258,1027,V
584,254,1020,V
572,248,969,V
555,237,949,V
539,229,925,V
532,207,938,V
527,174,967,V
521,161,991,V
509,137,990,V
520,117,961,V
515,108,976,V
510,89,974,V
494,87,986,V
507,74,1005,V
490,97,995,V
472,109,973,V
464,109,960,V
429,116,958,V
404,104,946,V
389,58,939,V
355,48,941,V
334,28,925,V
329,23,942,V
318,7,938,V
311,-23,945,V
312,-33,958,V
305,-54,955,V
299,-95,959,V
281,-89,918,V
259,-89,919,V
256,-76,905,V
261,-87,884,V
265,-107,861,V
240,-130,814,V
222,-173,824,V
224,-247,844,V
216,-306,840,V
242,-361,864,V
287,-340,809,V
300,-282,781,V
344,-208,712,V
337,-165,613,V
313,-162,582,V
257,-201,554,V
176,-269,529,V
84,-340,543,V
27,-383,533,V
-16,-397,536,V
-37,-376,558,V
-20,-329,604,V
-9,-275,601,V
10,-227,615,V
-8,-215,622,V
-33,-217,652,V
-51,-223,702,V
-39,-224,758,V
-16,-223,814,V
18,-231,894,V
52,-214,945,V
84,-200,989,V
99,-207,970,V
107,-199,962,V
130,-184,971,V
137,-196,982,V
157,-195,1004,V
169,-171,999,V
174,-158,1038,V
158,-153,1051,V
159,-121,1046,V
189,-105,1053,V
185,-83,1077,V
193,-84,1108,V
189,-97,1071,V
162,-107,1080,V
161,-117,1079,V
156,-120,1068,V
159,-125,1038,V
161,-128,1046,V
153,-125,1045,V
157,-127,1039,V
162,-129,1050,V
172,-144,1096,V
39,189,886,V
44,203,904,V
60,204,916,V
66,204,911,V
86,175,922,V
90,168,942,V
83,140,957,V
83,145,951,V
89,162,921,V
105,190,900,V
130,197,887,V
140,227,886,V
141,233,859,V
139,253,823,V
129,266,763,V
142,281,708,V
146,273,668,V
155,296,631,V
129,287,650,V
122,280,603,V
143,303,602,V
171,291,696,V
174,296,747,V
181,314,770,V
170,332,762,V
157,342,777,V
134,361,745,V
140,366,716,V
162,360,769,V
164,343,860,V
148,327,893,V
124,293,901,V
77,282,885,V
95,293,877,V
152,275,867,V
210,234,913,V
215,200,934,V
206,134,967,V
185,109,983,V
194,88,962,V
203,119,912,V
227,143,880,V
278,174,890,V
309,140,904,V
286,87,939,V
252,75,914,V
235,59,874,V
224,71,872,V
283,96,786,V
296,151,752,V
345,158,772,V
343,96,855,V
302,63,928,V
315,45,965,V
320,87,988,V
357,154,1000,V
424,214,982,V
516,281,947,V
588,237,914,V
583,189,897,V
602,179,976,V
614,104,1075,V
632,80,1149,V
616,113,1228,V
656,121,1273,V
653,80,1389,V
662,72,1383,V
676,29,1305,V
657,6,1218,V
618,3,1142,V
591,3,1107,V
560,49,1102,V
563,36,1162,V
550,1,1252,V
556,24,1248,V
574,25,1242,V
596,38,1191,V
583,72,1112,V
589,99,1031,V
555,115,976,V
519,121,1008,V
514,149,972,V
506,168,989,V
518,196,960,V
514,225,923,V
504,231,953,V
507,217,936,V
516,230,885,V
505,244,843,V
500,251,846,V
499,256,862,V
488,249,855,V
483,254,845,V
488,262,859,V
488,263,859,V
461,269,825,V
477,233,853,V
457,229,838,V
456,235,813,V
461,243,834,V
464,258,845,V
470,266,882,V
458,293,886,V
477,301,895,V
473,321,922,V
502,336,952,V
512,342,951,V
524,361,978,V
523,376,995,V
538,366,1028,V
539,366,1073,V
552,348,1107,V
552,298,1140,V
537,302,1155,V
552,291,1169,V
546,293,1153,V
550,297,1121,V
543,297,1090,V
530,279,1111,V
524,265,1099,V
499,261,1068,V
474,250,1081,V
456,258,1049,V
451,250,1069,V
446,234,1067,V
436,238,1031,V
424,203,1039,V
408,203,1012,V
398,200,997,V
410,185,1019,V
407,200,1031,V
398,175,1041,V
379,145,1044,V
346,105,1048,V
328,96,1022,V
319,80,979,V
322,104,955,V
325,119,949,V
330,141,981,V
337,118,958,V
335,106,930,V
334,97,931,V
322,63,996,V
331,45,1005,V
343,33,974,V
341,33,955,V
347,63,942,V
336,80,936,V
311,64,969,V
296,34,944,V
259,1,921,V
232,-55,910,V
204,-67,925,V
189,-52,951,V
233,-40,963,V
260,-9,951,V
243,5,929,V
245,-10,885,V
219,-50,852,V
164,-111,839,V
143,-200,876,V
109,-264,895,V
117,-269,898,V
148,-247,918,V
204,-202,945,V
235,-166,898,V
248,-156,798,V
236,-145,706,V
226,-184,700,V
195,-234,690,V
177,-330,707,V
143,-397,727,V
112,-415,736,V
136,-382,715,V
162,-322,679,V
165,-285,647,V
127,-258,625,V
89,-264,635,V
51,-272,636,V
24,-312,689,V
8,-310,701,V
36,-302,777,V
74,-282,836,V
113,-229,858,V
134,-225,892,V
114,-239,915,V
101,-251,903,V
73,-287,903,V
80,-277,894,V
89,-236,898,V
117,-246,936,V
121,-218,973,V
123,-217,977,V
113,-211,1010,V
117,-203,1022,V
108,-202,995,V
117,-184,969,V
112,-187,981,V
145,-202,984,V
127,-218,989,V
124,-215,1001,V
120,-219,991,V
140,-217,992,V
141,-221,1033,V
152,-231,1016,V
147,-249,1033,V
149,-258,1027,V
151,-250,1015,V
157,-247,993,V
161,-255,1018,V
175,-263,1003,V
194,-279,1002,V
184,-309,1002,V
159,-324,996,V
158,-351,978,V
152,-349,984,V
162,-332,1018,V
185,-302,999,V
